"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"Korea","Textile, sewing products",0,285404.49,0,229662.46,0,286847.55,0,224485.45,NA,145185.09,NA,183782.36,NA,277127.55,0,421958.01,0,329907.08,0,349616.94,0,186062.49,NA,228588.08,NA,3148627.59
"Korea","Paper and paper products",0,3382.83,0,3039.14,0,3996.85,0,4050.22,NA,4270.39,NA,3795.62,NA,4052.24,0,3746.56,0,3835.82,0,4121.13,0,3397.88,NA,3615.85,NA,45304.58
"Korea","Footwear",0,67531.62,0,44638.85,0,45548.04,0,40126.04,NA,62914.56,NA,60615.53,NA,60201.16,0,70624.63,0,39867.87,0,36301.93,0,65474.9,NA,66529.93,NA,660375.11
"Korea","Wood and wooden products",0,70001.97,0,42360.5,0,64852.05,0,82782.14,NA,61519.34,NA,67870.02,NA,62734.77,0,69576.87,0,53281.01,0,73656.67,0,74526.92,NA,84757.71,NA,807920.01
"Korea","Crude oil",0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,28580,16327.94,0,0,0,0,27492,15691.46,56072,32019.4
"Korea","Electrical wire and cable",0,35745.31,0,30146.85,0,41430.16,0,37124.77,NA,44427.4,NA,41668.53,NA,38321.12,0,37495.93,0,30224.27,0,33372.84,0,36457.34,NA,34363.02,NA,440777.59
"Korea","Plastic materials",1890,4031.5,2113,3655.31,2950,5168.53,2123,4174.52,2234,4559.71,2046,3957.28,2049,4017.98,2260,4030.9,2209,3215.43,2284,3711.32,1725,3223.17,2060,3551.66,25943,47297.37
"Korea","Rubber",5331,8226.1,2873,4546.12,3851,6525.08,3223,5599.65,4876,8177.25,3620,6598.35,4018,7343.4,2864,5249.07,1841,3538.95,3146,6665.23,3465,7573.67,2862,6205.28,41970,76248.17
"Korea","Coffee",4643,11907.89,2749,8851.8,5287,17454.29,3938,13550.48,3442,11285.52,3109,12626.62,3113,14474.22,2368,10674.76,1784,6160.64,2650,12687.17,1926,7826.85,2669,14476.87,37678,141977.15
"Korea","Chemical products",0,8041.06,0,5851.69,0,7752.02,0,9174.85,NA,7905.85,NA,9719.33,NA,9209.14,0,9818.57,0,8575.54,0,11002.81,0,8486.16,NA,7211.99,NA,102749.06
"Korea","Sweets, cookies and cereal preparations",0,8084.46,0,5567.36,0,8183.93,0,8864.78,NA,6753.58,NA,8090.65,NA,7823.58,0,7845.61,0,6913.85,0,7846.87,0,10527.22,NA,9581.25,NA,96083.19
