"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"Korea","Articles of iron and steel",0,55496.45,0,49727.89,0,64294.46,0,52117.76,0,54283.07,0,62071.99,0,57468.14,0,57879.54,0,59638.75,0,56066.62,0,59226.61,0,54145.98,0,682417.31
"Korea","Other base metal products",0,16685.58,0,22581.74,0,15542.9,0,13733.83,0,15071.37,0,16492.92,0,16510.81,0,14161.84,0,17065.48,0,13407.36,0,17380.84,0,18216.49,0,196851.22
"Korea","Paper products",0,4114.45,0,3488.07,0,4308.18,0,4031.02,0,5439.63,0,5024.82,0,6163.08,0,4549.52,0,4324.21,0,4141.86,0,5514.9,0,5982.4,0,57082.2
"Korea","Articles of plastics",0,106734.03,0,96755.3,0,115221.55,0,102860.82,0,121138.64,0,126087.47,0,123087.13,0,126489.56,0,121967.57,0,114509.65,0,123512.76,0,111664.85,0,1390029.38
"Korea","Articles of rubber",0,7727.22,0,7637.32,0,9099.99,0,8385.97,0,8845.87,0,8781.02,0,7743.37,0,8039.78,0,8041.91,0,7537.47,0,9292.48,0,9280.55,0,100413
"Korea","Other petroleum products",0,19087.67,0,21752.85,0,27212.99,0,28871.07,0,24590.55,0,23061.49,0,21364.67,0,24801.01,0,13816.61,0,33602.74,0,21562.94,0,21503,0,281227.63
"Korea","Chemical products",0,57446.09,0,59209.78,0,71929.52,0,59762.83,0,66848.18,0,77770.78,0,67572.44,0,73013.14,0,69501.68,0,74730.36,0,76793.46,0,75413.65,0,829991.96
"Korea","Dairy products",0,1380.44,0,427.54,0,2514.16,0,1486.9,0,1742.12,0,1456.29,0,1591.5,0,1631.12,0,1519.27,0,1666.18,0,2152.11,0,1978.71,0,19546.39
"Korea","Ores and other minerals",3339,1192.91,5438,4458.56,4685,2967.75,5281,1784.1,2013,1817.19,6249,1970.86,10178,2527.12,7091,1845.2,8016,2254.94,11194,2380.97,13609,2248.52,9058,2015.47,86151,27463.64
"Korea","Other means of transort and equipments",0,3029.01,0,422.15,0,3953.93,0,5198.11,0,3505.39,0,15416.39,0,24694.51,0,55439.47,0,5302.97,0,8161.1,0,8008.68,0,536.35,0,133668.12
"Korea","Fertilizers",9218,3018.53,16061,12542.06,5678,3183.95,11151,5833.33,14031,7062.71,13504,6170.69,7180,2769.87,7415,2334.17,13091,4653.95,9049,3604.88,12588,5733.19,14367,8211.45,133333,65118.83
"Korea","Auxiliary materials for textile, garment, leather, footwear",0,36477.08,0,32174.04,0,44474.29,0,50677.27,0,62143.17,0,50627.9,0,42913.45,0,34213.87,0,35883.74,0,39343.77,0,44980.67,0,47330.06,0,521239.37
"Korea","Auxiliary materials for medicaments",0,110.04,0,614.93,0,141.92,0,72.25,0,0,0,106.54,0,248.18,0,376.91,0,177.69,0,419.23,0,173.41,0,276.24,0,2717.4
"Korea","Computers, electronical products and parts",0,2111969.94,0,1839822.12,0,2332317.82,0,1983160.14,0,1991510.28,0,2063803.55,0,2327659.18,0,2793785.88,0,2722518.24,0,2872147.98,0,2898459.55,0,2810630.64,0,28747785.38
"Korea","Other Machinery, instrument, accessory",0,395195.55,0,494249.63,0,509159.01,0,409784.91,0,512136.14,0,452847.25,0,401874.08,0,456029.09,0,546187.2,0,421899.49,0,369283.2,0,469204.96,0,5437850.55
"Korea","Cameras and their parts",0,6925.61,0,7134.94,0,6619.62,0,7393.15,0,4176.32,0,5709.29,0,3085.63,0,2324.06,0,2323.02,0,2587.53,0,2451.59,0,2077.49,0,52808.29
"Korea","Parts and accessories for motor",0,82703.82,0,80832.69,0,98983.51,0,77700.05,0,70227.44,0,57871.77,0,53724.43,0,61309.55,0,62544.87,0,68841.07,0,66346.79,0,65160.2,0,846246.26
"Korea","Other base metals",22135,84163.75,25645,98130.31,34820,132431.62,25210,99400.47,28254,109166.15,27696,107473.76,28484,101435.2,29927,107810.59,28415,105495.09,29655,112997.4,32684,122925.3,30586,111515.59,343511,1292945.28
"Korea","Liquefied Petroleum Gas",0,0,266,335.81,462,641.06,152,233.13,84,127.42,60,85.56,0,0,60,82.34,150,170.19,76,102.39,76,100.48,161,210.5,1547,2088.94
"Korea","Chemicals",0,31160.69,0,41691.69,0,43193.6,0,39928.25,0,32735.63,0,38692.27,0,28437.36,0,45657.72,0,39437.56,0,46481.5,0,40942.94,0,37160.75,0,465520.02
"Korea","Fishery products",0,6825.4,0,8817.03,0,6882.18,0,6666.08,0,9647.27,0,14280.68,0,6511.65,0,7345.47,0,8882.18,0,6970.88,0,13444.39,0,7798.86,0,104072.13
"Korea","Fresh and pocessed vegetables and fruit",0,6101.1,0,5012.19,0,6809.34,0,5049.64,0,3685.4,0,3237.78,0,4099.27,0,5240.98,0,5085.05,0,5014.78,0,6804.54,0,7632.7,0,63772.83
"Korea","Domestic electrical appliances and parts",0,2850.45,0,3931.64,0,6207.62,0,4955.46,0,6695.53,0,4717.34,0,6725.53,0,4800.36,0,3976.56,0,3794.03,0,5052.9,0,5740.75,0,59448.2
