"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"Japan","Paper",17543,14859.63,21870,19211.25,25452,21689.5,25169,21507.76,23305,19435.95,18983,17824.03,23051,19378.35,155373,133906.5
"Japan","Wood and wooden products",0,163.16,0,243.87,0,501.46,0,274.57,0,257.9,0,277.11,NA,389.31,NA,2107.41
"Japan","Pharmaceutical products",0,2527.58,0,2775.99,0,3356.67,0,10520.08,0,6369.93,0,7137.36,NA,7330.69,NA,40018.32
"Japan","Electrical wire and cable",0,9391.7,0,11910.24,0,12831.77,0,13858.19,0,12852.81,0,14696.66,NA,16025.71,NA,91567.09
"Japan","Other preparations for foodstuff",0,3477.36,0,4828.08,0,8058.63,0,4889.51,0,4672.89,0,5130.01,NA,4708.18,NA,35764.68
"Japan","Plastic materials",15693,35882.42,22630,49637.72,33126,57875.03,20529,45591.88,19407,44402.17,21848,50218.75,25085,50245.37,158318,333853.36
"Japan","Aromatic substance, cosmetic and cleaning preparations",0,2721.79,0,4247.44,0,4835.71,0,4108.67,0,4917.73,0,3730.6,NA,5118.12,NA,29680.08
"Japan","Rubber",4409,12299.72,5778,17792.39,5275,14993.88,5528,15224.76,4195,14139.68,4422,14341.44,5253,15174.54,34860,103966.44
"Japan","Telephones and their parts",0,348.67,0,139.84,0,532.35,0,279.01,0,207.7,0,152.15,NA,298.59,NA,1958.35
"Japan","Precious stones, precious metals and their products",0,2290.62,0,4700.38,0,5224.25,0,5665.73,0,5247.59,0,5715.94,NA,6500.88,NA,35345.42
"Japan","Motor vehicles, assembled",238,8068.98,333,13988.5,248,14561.74,325,19513.9,613,39443.7,296,20364.12,782,26226.98,2835,142167.94
"Australia",NA,0,568996.84,0,515220.94,0,664785.56,0,688686.68,0,612553.24,0,582331.9,NA,566510.71,NA,4199085.89
"Australia","Animal fodder and materials",0,5527.81,0,4414.9,0,3511.76,0,4043.97,0,6069.72,0,5997.72,NA,4277.22,NA,33843.12
"Australia","Coal",1716941,235913.29,1662546,222986.84,1984322,235180.04,2231048,264624.81,2382391,264036.65,2319388,271664.1,2127086,210205.95,14423722,1704611.7
"Australia","Iron, Steel",1867,814.62,2805,1192.73,4205,1774.23,15230,6705.47,3109,1257.42,2421,1049,1981,1057.84,31618,13851.34
"Australia","Articles of iron and steel",0,169.45,0,264.24,0,207.81,0,443.57,0,309.94,0,189.24,NA,306.79,NA,1891.05
"Australia","Other petroleum products",0,613.57,0,662.55,0,890.44,0,493.34,0,690.96,0,853.5,NA,1556.43,NA,5760.82
